id,text,rating,timestamp,category,subcatgory,product
10,This product is my favorite after work product. I do not use cannabis. However the calmness is noticed while I sleep better and deal better in the morning.,5,11/4/2016 10:04 PM,hemp-cbd,hemp-tinctures,restorative-botanicals-restore-calm6-hemp-oil-extract-advanced-blend
11,"I've been taking CBD daily for around 5 years now.  I happened along CBD Thera at Canna Con in Boston a few weeks ago so I figured I'd try it, and it is the best CBD that I have had!!! The taste is awesome and I've felt great.  They informed me that it is made to be safe for pets to use also, so I figured I'd try giving it to my 7 year old Lab Jonesy who has a few arthritis issues and he has responded astoundingly!! I will not try any other CBD product not made by CBD Thera.",5,8/30/2017 1:33 PM,hemp-cbd,hemp-tinctures,cbd-thera-cbd-thera-250-mg-cbd-oil
12,"Really great CBD product - this is the one brand that consistently works for me. The complete is great because it has CBD-A, terpenes, and CBD",5,6/22/2016 5:08 AM,hemp-cbd,hemp-tinctures,bluebird-botanical-cbdcbda-cbd-complete
13,Really nice clean astaxanthin product. Thanks we love it.,5,6/22/2016 5:15 AM,hemp-cbd,hemp-tinctures,bluebird-botanical-cbd-brainpower
14,"I was really surprised at how effective and wonderful this product is. I have suffered with headaches all my life, suffering from headaches makes everything hard to deal with, I ordered some of this Bulletproof cbd, my head began to pound,I thought I would try the blend out. The first time ever using any cbd medicine and in about 30min I was feeling great!  I will reorder for sure!",5,3/8/2016 7:48 AM,hemp-cbd,hemp-tinctures,bluebird-botanical-bulletproof-cbd-blend
15,Best value on the market IMO,5,5/31/2018 9:13 PM,hemp-cbd,hemp-tinctures,merkabah-labs-organic-peppermint-tincture
16,"Really great product.  I like the 1000mg concentration, and great value for your money! 5 stars",5,6/5/2018 7:00 PM,hemp-cbd,hemp-tinctures,merkabah-labs-organic-peppermint-tincture
17,"This tincture is AMAZING! I use CBD regularly and Merkabah has made a tincture that tastes great, works great, and is definitely the best value I have found in the CBD market place. I am a big fan of Merkabah products all around, I have been using their Recovery Salve and it works wonders on my aches and pains!",5,6/5/2018 7:15 PM,hemp-cbd,hemp-tinctures,merkabah-labs-organic-peppermint-tincture
18,"I tried another brand in the market and it was really oily and hard to swallow each day, it even clumps up in water because of the oil.  PuRx7 instantly dissolves in water and works really fast.  It tastes good also.  When I took it, I could feel it working within a few minutes rather than an hour.  I've been playing around with using a few drops vs a whole dropper full, and both work well.  The 85% absorption rate is a real thing.  I struggle with anxiety, and I got so used to not feeling the anxiety so much any more that I was thinking I didn't need the CBD until yesterday when I started feeling the anxiety I felt before I started using CBD.  I went and put a little PuRx7 under my tongue and within minutes I was feeling better.  Love PuRx7!!",5,3/15/2017 4:47 PM,hemp-cbd,hemp-oil,purx7-purx7-hemp-cbd-oil
19,I suffered for years from anxiety and TMJ Chronic pain and within one hour of using this oil both became nonexistent. I have been experiencing cannabis oil for years and have had great results but this one changed my life . It's Amazing that 1 natural product has endless features and benefits . This is a game changer!,5,8/3/2017 6:05 AM,hemp-cbd,hemp-oil,the-cannabis-experience-retreat-prime-my-body-nanoenhanced-hemp-oil-repair
20,[],5,3/24/2017 8:19 AM,hemp-cbd,hemp-oil,justhempco-cbd-crumble-800mg
21,[],5,3/24/2018 11:06 AM,hemp-cbd,hemp-oil,nuleaf-naturals-240mg-full-spectrum-organic-cbd-oil
22,"This is a good product, but i personally did not like the peppermint flavor. Compared to hemp flavor. Its also not a very high concentration for 25ml container.",3,10/26/2016 9:30 PM,hemp-cbd,hemp-oil,ensohara-inc-100mg-peppermint-cbd-oil-25ml
23,[],5,9/19/2017 1:12 AM,hemp-cbd,hemp-oil,triniti-cbd-tincture-set-1500-mg-99-pure-shipping-to-all-50-states
24,[],5,6/28/2018 1:27 PM,hemp-cbd,hemp-oil,triniti-cbd-tincture-set-1500-mg-99-pure-shipping-to-all-50-states
25,"I don't smoke weed. I've never used CBD oil before. I sprayed 5 sprays of the 3mg dose into my mouth. (The bottle recommends 1 or 2 sprays).  Within 5 minutes I felt my tense jaw muscles noticeably unclench and my tense shoulders relaxed. I felt an overall state of calmness. So I would say it's working. Only thing is that I'm not sure if it was all ""in my head"" or if I'm ""truly"" relaxing. But, so far I would say that it works pretty good. I gave some to a friend who took the same 5 metered sprays and he also said he felt noticeably relaxed. He smokes weed regularly and he said it works.",4,11/5/2016 8:59 PM,hemp-cbd,hemp-oil,cannavest-pluscbd-oil-spray
26,"This works great for stress, and anxiety.",5,1/15/2018 5:00 AM,hemp-cbd,hemp-oil,cannavest-pluscbd-oil-spray
27,"My wife was the one who convinced me to give this oil a try for my 'old man elbow'.  I have near constant joint pain in my elbow that was keeping me from certain gym activities and sports.  I have been using the 300mg 2x a day-Its been about 6 weeks now, and all I can tell you is that it really seems to help. I can get through a boxing workout, which is something I haven't been able to do for a few years.  I seem to recover much faster from yard work and workouts- less soreness, fewer stiff joints.  I am begrudgingly a believer and just made another order-just don't tell my wife.",5,8/30/2017 4:49 PM,hemp-cbd,hemp-oil,citiva-naturals-naturoil-by-citiva-300mg-cbd-organic-whole-plant-hemp-extract
28,This is the second CBD product I have tried. The other product had a lingering aftertaste and was helpful but not as good as the Citiva product. It tastes well and I took it directly under my tongue for sleeping. Took it about one hour before bedtime and when I went to bed easily feel asleep and stayed asleep! It has now been one month and I am quite pleased.,5,9/11/2017 8:40 PM,hemp-cbd,hemp-oil,citiva-naturals-naturoil-by-citiva-300mg-cbd-organic-whole-plant-hemp-extract
29,Good service,5,9/12/2017 11:02 AM,hemp-cbd,hemp-oil,citiva-naturals-naturoil-by-citiva-300mg-cbd-organic-whole-plant-hemp-extract
30,[],5,4/6/2018 9:36 PM,hemp-cbd,hemp-oil,nature-leaf-organics-nature-leaf-organics-750mg-phytocannabidiol-softgel
31,"Iv had troubles getting to sleep my entire life. Iv tried every natural sleep aid you could imagine, and very few made any difference at all. It wasn't until i tried this CBD oil that I could actually get to sleep within minutes of my head hitting the pillow! I love that not only does it work, but it has a lot of positive health effects on the body!",5,4/7/2018 5:02 AM,hemp-cbd,hemp-oil,nature-leaf-organics-nature-leaf-organics-750mg-phytocannabidiol-softgel
32,[],5,4/9/2018 9:32 PM,hemp-cbd,hemp-oil,nature-leaf-organics-nature-leaf-organics-750mg-phytocannabidiol-softgel
33,"I've been taking CBD for years, tried a lot of isolate products but after being reccomended to check out the full spectrum caps with Nature Leaf, I'm glad to say I've FINALY found a product which is consistent and gives me the relief I need for my anxiety and sleep issues. First off I've never seen any other company with the quality of pills they use AND once I researched FULL SPECTRUM VS ISOLATE, I quickly realized why I was noticing such a difference. I'm taking 2 per day one in the morning and one before bed. You will notice the difference in quality compared to other products, I'm interested in trying some of their other products, hopefully they'll come out with more! Thanks to the Nature Leaf Organics for creating an amazing product!!! :D",5,4/10/2018 11:32 PM,hemp-cbd,hemp-oil,nature-leaf-organics-nature-leaf-organics-750mg-phytocannabidiol-softgel
34,"I have been taking this product twice a day for about 3 months now and must say that it has done wonders for me. From the very first time taking this product I noticed that it made me feel way more focused on the task at hand (I was in the middle of writing a report). The general relaxing feeling yet alertness that accompanied this experience with the pills became almost therapeutic. Having add it's hard for me to stay focused at times and I have found that taking these pills help a ton! In addition to this and probably the main reason for taking them, my sleep has never been so good after taking this product! I work shift work and long hours which means that the quality of my sleep is poor. After taking these for the first week I noticed I woke up less irritable and had to nap way less.  Furthermore, as I weight train a few days a week, after I take these pills the soreness tends to go away faster or become more mild. Needless to say I'm a frequent buyer and recommend this product if your in need of a product that can improve your sleep quality, focus, and inflammation ( and the cinnamon taste is a nice touch too!).",5,4/11/2018 3:26 AM,hemp-cbd,hemp-oil,nature-leaf-organics-nature-leaf-organics-750mg-phytocannabidiol-softgel
35,"Gave the CBD softgels a chance, and needless to say I will be buying again as soon as I run out!  Highly recommend!",5,4/11/2018 4:59 AM,hemp-cbd,hemp-oil,nature-leaf-organics-nature-leaf-organics-750mg-phytocannabidiol-softgel
36,"Thank you!! As someone who runs multiple businesses, my mornings are usually crazy with the plethora of emails and calls I have to tend to. It doesn't help that I was barely sleeping at night due to the anxiety I was suffering from knowing how much I had to do in the mornings.  I was reliant on Adderall to keep me focused. My Wife picked up a bottle of Nature Leaf CBD Softgels, and I was blown away at how these worked so quickly. Every morning I take a softgel, and within 15 minutes I feel relaxed, calm and focused!. I sleep much better as well and I'm glad it is free of heavy metals and GMO's!   Many Thanks.",5,4/12/2018 5:37 AM,hemp-cbd,hemp-oil,nature-leaf-organics-nature-leaf-organics-750mg-phytocannabidiol-softgel
37,"I've been working manual labour for the last 10 years and had a few injuries in my lower back, which is why I was directed towards CBD for pain, a couple years ago when I first tried to make the switch from pain killers to CBD I wasn't seeing the results I needed so I went back to pharmaceuticals, Nature Leaf Organics was recommended to me by a close friend, I didn't get my hopes up but after trying it for the first time I was shocked to feel the same if not better relief then my other medication, not only that but I feel much more clarity now being off the hard stuff, love it!",5,4/18/2018 1:51 PM,hemp-cbd,hemp-oil,nature-leaf-organics-nature-leaf-organics-750mg-phytocannabidiol-softgel
38,I have researched CBD's in my battle of prostate cancer and feel this products processes are the cleanest and most regulated that I have studied. I am using Nature Leaf CBD's with confidence in my battle!,5,4/19/2018 6:03 PM,hemp-cbd,hemp-oil,nature-leaf-organics-nature-leaf-organics-750mg-phytocannabidiol-softgel
39,I am on my 4th bottle of CBDPure 300 mg and I am hooked! Excellent quality and the perfect concentration for my needs. I also enjoy the chat support on their website as they are quick to answer my questions.,5,7/22/2017 1:56 AM,hemp-cbd,hemp-oil,cbdpure-cbdpure-hemp-oil-300
40,I just bumped up from the 100 to the 300 and I am simply loving it! CBDPure has an unrivaled quality that is hard to beat.,5,7/22/2017 2:01 AM,hemp-cbd,hemp-oil,cbdpure-cbdpure-hemp-oil-300
41,Excellent product.,5,7/25/2017 12:34 AM,hemp-cbd,hemp-oil,cbdpure-cbdpure-hemp-oil-300
42,CBDPure 300 is a high quality CBD oil! The only one I use.,5,7/25/2017 12:37 AM,hemp-cbd,hemp-oil,cbdpure-cbdpure-hemp-oil-300
43,Both my wife and I use this. Good stuff!,5,7/25/2017 12:41 AM,hemp-cbd,hemp-oil,cbdpure-cbdpure-hemp-oil-300
44,Just upped it from 100 to 300 and I really love it!,5,7/25/2017 12:43 AM,hemp-cbd,hemp-oil,cbdpure-cbdpure-hemp-oil-300
45,CBDPure 300 is the perfect concentration for my needs.,5,7/25/2017 12:44 AM,hemp-cbd,hemp-oil,cbdpure-cbdpure-hemp-oil-300
46,Friend told me to try this out and I am glad that I did. Great product!,5,7/25/2017 12:46 AM,hemp-cbd,hemp-oil,cbdpure-cbdpure-hemp-oil-300
47,Simply the BEST.,5,7/25/2017 12:47 AM,hemp-cbd,hemp-oil,cbdpure-cbdpure-hemp-oil-300
48,Ordered this CBD Oil and received an empty box in the mail. Someone ripped off the contents because the box wasn't sealed properly.  The folded end of the box wasn't sealed with tape and could be easily opened.  Currently trying to get some recourse from the USPS and this company. Will update the results. Out fifty bucks right now.,1,2/24/2018 5:20 PM,hemp-cbd,hemp-oil,cbdpure-cbdpure-hemp-oil-300
49,I couldn't be happier with the results!,5,4/6/2018 10:39 PM,hemp-cbd,hemp-edibles,organic-supply-seabd-krill-hemp
50,"As far as the pill goes and its taste- this is a fine product. However, I am not sure if this is decarboxylated biomass. Good for those that like to take cbd in pill form.",4,10/26/2016 9:32 PM,hemp-cbd,hemp-edibles,cannavest-pluscbd-oil-capsules
51,"While I typically drink a darker coffee, this is a very nice coffee.  The calming effects are noticeable and enjoyable.",4,11/14/2017 8:01 PM,hemp-cbd,hemp-edibles,strava-craft-coffee-elevate
52,I very tasty beverage with wonderful soothing effects,5,1/30/2018 4:06 PM,hemp-cbd,hemp-edibles,strava-craft-coffee-elevate
53,"Excellent quality capsules. These are medical grade, not the junk you get on the street. They help in relieving stress and clearing the mind of the ""noise"" and the racing of thoughts you often experience in stressful and chaotic times. I also believe that cannabinoid compounds do in fact help the immune system function at optimal levels, which prevents and helps a multitude of potential diseases and abnormalities. There is no harm in taking these, so you might as well try.",5,6/13/2018 7:26 PM,hemp-cbd,hemp-edibles,farmacy-bliss-full-spectrum-hemp-extract-softgels-25mg-hemp-extract-per-softgel-30-count
54,"I've tried several CBD products to help manage my morning anxiety, and this one has been the most effective thus far. I take one softgel in the morning and within 10-15 minutes feel calming relief, which takes me through most of the day. I love the fact that this product is healthy and doesn't contain any harmful substances. Def recommend!",5,6/20/2018 6:32 PM,hemp-cbd,hemp-edibles,farmacy-bliss-full-spectrum-hemp-extract-softgels-25mg-hemp-extract-per-softgel-30-count
55,"Tried out Triniti CBD for my dog first, then decided to give it a shot. Had knee surgery last month and I barely had to touch my Percocet. They delivered quickly too.",5,6/15/2018 10:25 PM,hemp-cbd,hemp-edibles,triniti-cbd-15mg-cbd-capsules-30-qty
56,[],5,6/30/2018 5:14 PM,hemp-cbd,hemp-edibles,triniti-cbd-15mg-cbd-capsules-30-qty
57,"Great alternative for drugs I have been prescribed for my fibromyalgia. This Kushy Punch gives me the relief from pain I need to get my day going, especially when it rains. Usually I am curled up in a ball of pain when the rain is on its way but not after I nibble on these. It's not a head-high...it is more of a relaxing body high. This can be your new best friend if you have arthritis. #420sweepstakes",5,3/26/2017 12:55 AM,hemp-cbd,hemp-edibles,kushy-punch-kushy-punch-cbd-60mg-cbd-peach-gummy
58,Love this product! I hyperextended my knee at a match and needed to be strapped up to finish the day.  A little went a long way; it only took two squares to reduce the swelling enough for me to continue the next day.,5,3/27/2017 12:35 AM,hemp-cbd,hemp-edibles,kushy-punch-kushy-punch-cbd-60mg-cbd-peach-gummy
59,"Strength seems to be as advertised and has a surprisingly good peach flavor although I must have gotten one from an older batch as it was slightly hard and almost stale, 5 stars for flavor though! #420sweepstakes",5,3/27/2017 5:53 PM,hemp-cbd,hemp-edibles,kushy-punch-kushy-punch-cbd-60mg-cbd-peach-gummy
60,"I've used this for both pain management and relief from anxiety, and it never fails to have the desired effect. It's also useful for balancing if I overdo things with high THC strains. I'd highly recommend this for anyone needing quick relief. It's my bandaid for those tough days.",5,6/7/2017 9:27 PM,hemp-cbd,hemp-edibles,kushy-punch-kushy-punch-cbd-60mg-cbd-peach-gummy
61,"Didn't have a good reaction to their CBD. I don't like how the gummy is four pieces for dosage but you have to bite off a 1/4 to have a single dose, WTH. And that is in no way a peach flavor like it says. I'm sooooooooooo disappointed after hearing only good things. Don't believe the hype. Move along and try another brand, I AM",2,8/29/2017 9:20 PM,hemp-cbd,hemp-edibles,kushy-punch-kushy-punch-cbd-60mg-cbd-peach-gummy
62,"Great CBD gummy. This edible is a good way to get good pain relief, and with the extremely low thc content,I do not feel out of it and can be free to go about my day. Taste isn't as bad as some of their other edibles",5,2/19/2018 10:35 PM,hemp-cbd,hemp-edibles,kushy-punch-kushy-punch-cbd-60mg-cbd-peach-gummy
63,I've tried many edibles Kushy CBD is by far the most effective for helping me treat insomnia. I'm able to get a full nights sleep easily since trying their gummies.,5,6/27/2018 5:13 PM,hemp-cbd,hemp-edibles,kushy-punch-kushy-punch-cbd-60mg-cbd-peach-gummy
64,This CBD product is superior to anything else I’ve tried. Nothing else on the market compares,5,6/28/2018 8:54 PM,hemp-cbd,hemp-edibles,kushy-punch-kushy-punch-cbd-60mg-cbd-peach-gummy
65,[],5,3/25/2017 3:25 PM,hemp-cbd,beauty,zacks-cannabis-culture-mango-madness
66,"Great organic smoking herb. Very smooth, burn and flavour.",5,9/4/2017 4:30 PM,hemp-cbd,bath-body,potzeeca-organic-sage-smoking-blend-for-marijuana
67,"I used this product for relaxing. Lighting a incense around the tub and listening to some good music (SirusXM-Chill) with some killer indica will definitely put you where you need to be. I have a large tub, so I added some Lavender Epson salt, since you only get 10 oz in the bottle. The smell in the bottle is like bath salts soaked in rubbing alcohol, rather relaxing and not over powering. I guess I'd buy it again.",3,7/24/2016 12:12 AM,hemp-cbd,bath-body,dixie-elixirs-edibles-bath-soak
68,[],5,12/4/2017 7:23 PM,hemp-cbd,bath-body,bio-cleanse-detox-organic-detox-kit
69,Solid but 90 days?! Need something faster than that. Everyone knows most can detox naturally in a week.,5,3/29/2018 6:03 PM,hemp-cbd,bath-body,bio-cleanse-detox-organic-detox-kit
70,"The cleanse is 9 days, not 90, I don't know what the other guy in the above review is saying. It's a remarkable program. My health condition has improved dramatically since doing it. It also helped me to start on a journey of healthier eating and lifestyle. I would recommend this to anyone wanting to rid their body of toxins, mucoid plaque, heavy metals, whatever.",5,5/1/2018 6:04 PM,hemp-cbd,bath-body,bio-cleanse-detox-organic-detox-kit
71,"I tried 20 mg of this product and did not feel anything from the THC, just a little energy from the caffeine. Not happy with this product.",1,10/28/2017 5:09 PM,edibles,tinctures-sublingual,zoots-zootdrops-yippee-ki-yay-blend
72,"I love edible and drinkable cannabis-infused elixirs, so this seems like it would be right up my alley, right? Unfortunately, not so much. The flavor is not sweet enough to make a splash in water the way some concentrated flavors might, and the effect was ""meh"" at best. I bought it once on a recommendation, but haven't tried it since.",3,3/29/2017 12:14 AM,edibles,tinctures-sublingual,zoots-zootdrops-kick-back-blend
73,[],5,6/21/2018 4:43 PM,edibles,tinctures-sublingual,dixie-elixirs-edibles-watermelon-dew-drops
74,"Picked this up the other day and have to say I am not impressed. Am I the only person who receives 0 effects? My local budtender advised me to leave it under my tongue for a while. I did such and after 45 minutes still nothing. Another time I tried doubling the dosage, after a tolerance break might I add, and still nothing. Will not purchase again.",1,4/23/2016 2:47 AM,edibles,tinctures-sublingual,dixie-elixirs-edibles-vanilla-dew-drops
75,[],5,6/28/2018 4:59 AM,edibles,tinctures-sublingual,luminous-botanicals-universal-cannabis-tonic-meadow-blend
76,Perfection. Works for sleep.,5,5/29/2018 7:48 PM,edibles,tinctures-sublingual,pianta-tinta-collective-super-high-thc-whole-plant-tincture
77,"Love this tincture. Lovely sweet, earthy taste (sublingually) and a very relaxing buzz after a stressful day. Gonna help me wind down into a deep slumber tonight. Great stress reliever.",5,5/24/2017 3:04 AM,edibles,tinctures-sublingual,cascadia-herbals-sugar-black-rose-tincture
78,[],1,8/26/2017 10:46 PM,edibles,tinctures-sublingual,silver-state-trading-strainz-ratio-tincture-balance
79,Awesome product. I always use it before my yoga class.,5,5/15/2017 5:45 PM,edibles,tinctures-sublingual,the-root-of-it-all-slow-cannabis-infused-edible-essential-oil
80,Mellow high.  To much alcohol.  It burns and does not activate any faster.  Not a total waste of money.  It helps great for pain.,3,5/23/2018 4:37 PM,edibles,tinctures-sublingual,sun-god-medicinals-ra-cannabis-classic-green-dragon-thc-tincture
81,[],5,7/15/2017 8:53 PM,edibles,tinctures-sublingual,cascadia-herbals-purple-hindu-kush-tincture
82,This thing does not taste very good. However it managed to take me down from slightly anxious to slightly relaxed. There was just a tiny change which is nice. Not sure I would buy it again but this was the only Kin Slip variety that I felt was helpful. Paranoia level: 1/10.,4,3/27/2018 7:31 PM,edibles,tinctures-sublingual,herbabuena-kin-slips-park-life-mango
83,"It tastes so gross oh my god. It tastes like powdered black licorice. After trying not to gag while it dissolved under my tongue, I was pretty much ready to go to bed but I felt it kick in within 20 minutes so I thought it best to go right to sleep and let Nice Dream just give me a really intense 8 hours. Unfortunately I woke up during the night to go to the bathroom and oh my god it suuuuucked. It was a freaking Lord of the Rings journey to manage this I was so horribly high. Next morning I had a headache and I felt like a rock. Do not recommend. Paranoia level: 5/10.",1,3/27/2018 7:34 PM,edibles,tinctures-sublingual,kin-slips-kin-slips-infused-sublingual-strips-nice-dream-blend
84,"Just enough THC to allow the CBDs to do their thing.  Calming, but not lethargy inducing.",5,9/20/2017 3:29 AM,edibles,tinctures-sublingual,cascadia-herbals-harle-tsu-tincture
85,"Tasty and clear-headed! I've been using this before my morning run for the past month, and it's really made a difference in my mood throughout the day. It's such a clear-headed experience that it makes running an even more therapeutic experience.",5,5/4/2017 3:22 PM,edibles,tinctures-sublingual,the-root-of-it-all-go-cannabis-infused-edible-essential-oil
86,"I have never had physical stress or anxiety until this summer when I had a panic attack. It was debilitating and didn't go away for a couple of hours. I started having them frequently after that and just a constant anxious feeling. Chest was tight... Especially at night and I did not want to go to the doctor to get anti-anxiety meds. I decided to try this elixir because I've smoked flower for about 7 years now and it would often make my attacks worse or bring them on. After a day of taking the elixir I could tell a noticeable difference. My chest wasn't as tight that night and the next night I was able to sleep through the whole night with no chest pain. I've noticed an elevation in my mood and attitude every day since. I would definitely recommend this oil to anyone who suffers from anxiety, stress, or depression.",5,12/3/2017 4:35 AM,edibles,tinctures-sublingual,canna-hemp-cbd-elixir-calm
87,[],5,5/26/2017 3:53 AM,edibles,tinctures-sublingual,care-by-design-181-cbd-sublingual-spray
88,[],5,12/23/2017 9:36 PM,edibles,tinctures-sublingual,dixie-elixirs-edibles-watermelon-synergy-dew-drop
89,[],5,6/27/2018 12:21 AM,edibles,tinctures-sublingual,dixie-elixirs-edibles-watermelon-synergy-dew-drop
90,[],5,6/20/2018 7:20 AM,edibles,tinctures-sublingual,luminous-botanicals-universal-cannabis-tonic-sky-blend-high-thc
91,"This is by far my favorite tonic on the market!  It's fast acting (I have taken tonics sublingually that have taken 3 hours to come on) this one is reliably noticeable after 30 minutes or so.  I love the feeling it helps create - i get creative, sensuous, and relaxed.  (Yes, it's awesome for sex).  But also good for dancing, hiking and making art!  There's not a lot of taste I can tell (I drop it in the back of my throat though usually so hard to say).  I've read a bit about the company and they seem really trustworthy.  Plus, you can buy little sample sizes and try it out, which is great.  I keep 'em and refill them when I want to take some with me but don't want to bring the whole bottle.  LOVE this product!",5,6/26/2018 11:31 PM,edibles,tinctures-sublingual,luminous-botanicals-universal-cannabis-tonic-sky-blend-high-thc
92,"I purchased the 3:1 tincture for my friend with chronic pain. He reported an amazing result, both in terms of pain reduction, but also helping him get a better night's sleep!  The CBD rich version I take as a nutriceutical, every day.",5,11/6/2017 11:43 PM,edibles,tinctures-sublingual,papa-releaf-tinctures
93,I can’t even get these products and I am in the heart of cannibus country! The delivery service as you claim to deliver through don’t carry your products! I advise people to try your products and I can’t even use them!,1,5/3/2018 4:26 PM,edibles,tinctures-sublingual,papa-releaf-tinctures
94,"So this was supposed to be a micro dose but I should have known better. Based on the Nice Dream experience I should not have underestimated 5mg. Also 5mg is kind of a lot for me. I'm used to like 3-4mg edibles to be comfortable at home, not at work. Big mistake. I took the whole sheet, which probably tastes the best out of all three but still not great. Kind of mango/banana. And I was too high for work. I mean I'm sure I acted fine but I was not having a good time internally. Tried half of a 5mg slip the next day and even though the high was more manageable and wore off faster it was not enjoyable. Booooo. Paranoia level: 5/10.",1,3/27/2018 7:35 PM,edibles,tinctures-sublingual,kin-slips-kin-slips-infused-sublingual-strips-cloudbuster-blend
95,[],5,6/28/2018 12:14 AM,edibles,tinctures-sublingual,kin-slips-kin-slips-infused-sublingual-strips-cloudbuster-blend
96,A big fan of the Speakeasy CBD tonic. It works great for anxiety.,5,10/19/2017 5:19 PM,edibles,tinctures-sublingual,speakeasy-710-tonic-cbd
97,"Wow!! That's the feeling you get with this oil. Pure, and works quicker then oils I have had in the past. Thx SpeakEasy",5,2/15/2018 4:06 AM,edibles,tinctures-sublingual,speakeasy-710-tonic-cbd
98,I have been taking Resonance Farm's CBD Rich oil for about 3 weeks now.  I have Multiple Sclerosis and had been having great difficulty sleeping due to discomfort from muscles that just asked so much that I could not sleep.  There was NO position that allowed for sleep.  Taking only 10-12 drops in the evening gave me COMFORT and I was able to get a good nights sleep.  This has continued from the very first dose.  I cannot imagine my future without the relief that this product has given me!,5,2/26/2018 1:56 AM,edibles,tinctures-sublingual,resonance-farm-cbd-rich-oil
99,[],5,4/1/2018 9:04 PM,edibles,tinctures-sublingual,resonance-farm-cbd-rich-oil
100,Very tasty. Works quickly! I have not had a bad one yet. Very strong on the CBD line.  This is definitely on my list for purchase every time I'm in parachute Green Joint,4,8/31/2016 12:54 PM,edibles,tinctures-sublingual,marqaha-marqaha-tincture
101,Work great for me. I'm trying to get away from taking Ambient every night to help me fall a sleep and this product works almost as well. I still use my Ambient but instead of taking it 7 day a week I now only use it 3 days a week.,5,3/18/2017 4:53 PM,edibles,tinctures-sublingual,marqaha-marqaha-tincture
102,"This product is a complete waist of your money.We were told it is very potent what a sham!,,,Really it dose not even get one star😰",1,10/20/2016 7:28 PM,edibles,tinctures-sublingual,speakeasy-710-tonic-thc
103,"This tincture is a joke, i spend a lot of money on it and does not contained any THC, don't waste your money on this item.  What a freaking rip-off.",1,8/12/2017 3:55 AM,edibles,tinctures-sublingual,speakeasy-710-tonic-thc
104,"Amazing product and very potent. Took 1 dropper full and in 30 minutes was numbed out, works great as a topical for my arthritis as well. 2 Thumbs up!",5,10/19/2017 5:18 PM,edibles,tinctures-sublingual,speakeasy-710-tonic-thc
